source	type	relation	attributeName	attributeValue	biolinkPredicate	inversePredicate	mappedRelation	inverseRelation
ChEMBL	affects		action_type	HYDROLYTIC ENZYME	biolink:increases_degradation_of	biolink:degradation_increased_by	CHEMBL.MECHANISM:HYDROLYTIC ENZYME	CHEMBL.MECHANISM:HYDROLYTIC ENZYME
ChEMBL	affects		action_type	INHIBITOR	biolink:negatively_regulates	biolink:negatively_regulated_by	CHEMBL.MECHANISM:INHIBITOR	CHEMBL.MECHANISM:INHIBITOR
ChEMBL	affects		action_type	INVERSE AGONIST	biolink:decreases_activity_of	biolink:activity_decreased_by	CHEMBL.MECHANISM:INVERSE AGONIST	CHEMBL.MECHANISM:INVERSE AGONIST
ChEMBL	affects		action_type	METHYLATING AGENT	biolink:affects	biolink:affected_by	CHEMBL.MECHANISM:METHYLATING AGENT	CHEMBL.MECHANISM:METHYLATING AGENT
ChEMBL	affects		action_type	MODULATOR	biolink:regulates	biolink:regulated_by	CHEMBL.MECHANISM:MODULATOR	CHEMBL.MECHANISM:MODULATOR
ChEMBL	affects		action_type	NEGATIVE ALLOSTERIC MODULATOR	biolink:negatively_regulates	biolink:negatively_regulated_by	CHEMBL.MECHANISM:NEGATIVE ALLOSTERIC MODULATOR	CHEMBL.MECHANISM:NEGATIVE ALLOSTERIC MODULATOR
ChEMBL	affects		action_type	NEGATIVE MODULATOR	biolink:negatively_regulates	biolink:negatively_regulated_by	CHEMBL.MECHANISM:NEGATIVE MODULATOR	CHEMBL.MECHANISM:NEGATIVE MODULATOR
ChEMBL	affects		action_type	OPENER	biolink:increases_activity_of	biolink:activity_increased_by	CHEMBL.MECHANISM:OPENER	CHEMBL.MECHANISM:OPENER
ChEMBL	affects		action_type	OTHER	biolink:affects	biolink:affected_by	CHEMBL.MECHANISM:OTHER	CHEMBL.MECHANISM:OTHER
ChEMBL	affects		action_type	OXIDATIVE ENZYME	biolink:physically_interacts_with	biolink:physically_interacts_with	CHEMBL.MECHANISM:OXIDATIVE ENZYME	CHEMBL.MECHANISM:OXIDATIVE ENZYME
ChEMBL	affects		action_type	PARTIAL AGONIST	biolink:increases_activity_of	biolink:activity_increased_by	CHEMBL.MECHANISM:PARTIAL AGONIST	CHEMBL.MECHANISM:PARTIAL AGONIST
ChEMBL	affects		action_type	POSITIVE ALLOSTERIC MODULATOR	biolink:increases_activity_of	biolink:activity_increased_by	CHEMBL.MECHANISM:POSITIVE ALLOSTERIC MODULATOR	CHEMBL.MECHANISM:POSITIVE ALLOSTERIC MODULATOR
ChEMBL	affects		action_type	POSITIVE MODULATOR	biolink:increases_activity_of	biolink:activity_increased_by	CHEMBL.MECHANISM:POSITIVE MODULATOR	CHEMBL.MECHANISM:POSITIVE MODULATOR
ChEMBL	affects		action_type	PROTEOLYTIC ENZYME	biolink:increases_degradation_of	biolink:degradation_increased_by	CHEMBL.MECHANISM:PROTEOLYTIC ENZYME	CHEMBL.MECHANISM:PROTEOLYTIC ENZYME
ChEMBL	affects		action_type	REDUCING AGENT	biolink:physically_interacts_with	biolink:physically_interacts_with	CHEMBL.MECHANISM:REDUCING AGENT	CHEMBL.MECHANISM:REDUCING AGENT
ChEMBL	affects		action_type	RELEASING AGENT	biolink:increases_expression_of	biolink:expression_increased_by	CHEMBL.MECHANISM:RELEASING AGENT	CHEMBL.MECHANISM:RELEASING AGENT
ChEMBL	affects		action_type	RNAI INHIBITOR	biolink:negatively_regulates	biolink:negatively_regulated_by	CHEMBL.MECHANISM:RNAI INHIBITOR	CHEMBL.MECHANISM:RNAI INHIBITOR
ChEMBL	affects		action_type	SEQUESTERING AGENT	biolink:physically_interacts_with	biolink:physically_interacts_with	CHEMBL.MECHANISM:SEQUESTERING AGENT	CHEMBL.MECHANISM:SEQUESTERING AGENT
ChEMBL	affects		action_type	STABILISER	biolink:increases_stability_of	biolink:stability_increased_by	CHEMBL.MECHANISM:STABILISER	CHEMBL.MECHANISM:STABILISER
ChEMBL	affects		action_type	SUBSTRATE	biolink:physically_interacts_with	biolink:physically_interacts_with	CHEMBL.MECHANISM:SUBSTRATE	CHEMBL.MECHANISM:SUBSTRATE
ChEMBL	has_evidence				biolink:has_evidence	biolink:is_evidence_for		
ChEMBL	has_metabolite				biolink:has_metabolite	biolink:is_metabolite_of		
ChEMBL	treats				biolink:treats	biolink:treated_by		
CMAP	correlated_with				biolink:correlated_with	biolink:correlated_with		
CTRP	correlated_with				biolink:correlated_with	biolink:correlated_with		
DGIdb	affected_by				biolink:affected_by	biolink:affects		
DGIdb	affects				biolink:affects	biolink:affected_by		
DrugBank	affected_by				biolink:affected_by	biolink:affects		
DrugBank	affects				biolink:affects	biolink:affected_by		
DrugBank	affects^-1				biolink:affected_by	biolink:affects		
DrugBank	transport_affected_by				biolink:transport_affected_by	biolink:affects_transport_of		
DrugBank	affects_transport_of				biolink:affects_transport_of	biolink:transport_affected_by		
DrugCentral	treated_by				biolink:treated_by	biolink:treats		
GeLiNEA	enriched_in_genes_correlated_with				biolink:enriched_in_genes_correlated_with	biolink:enriched_in_genes_correlated_with		
GtoPdb	affected_by				biolink:affected_by	biolink:affects		
GtoPdb	affects				biolink:affects	biolink:affected_by		
HMDB	interacts_with				biolink:interacts_with	biolink:interacts_with		
HMDB	related_to				biolink:related_to	biolink:related_to		
Inxight:Drugs	ACTIVE MOIETY				biolink:has_active_ingredient	biolink:is_active_ingredient_of		
Inxight:Drugs	has_active_ingredient				biolink:has_active_ingredient	biolink:is_active_ingredient_of		
RxNorm	related_to				biolink:related_to	biolink:related_to		
STITCH	interacts_with				biolink:interacts_with	biolink:interacts_with		
STRING	related_to				biolink:related_to	biolink:related_to		
