label	transformer	mappedInfores	knowledge_source_slot
STRING	STRING protein-protein interaction	infores:string	biolink:primary_knowledge_source
SRI node normalizer	SRI node normalizer producer	infores:sri-node-normalizer	biolink:aggregator_knowledge_source
symmetric difference	symmetric difference (XOR)	infores:molepro	biolink:aggregator_knowledge_source
union	union	infores:molepro	biolink:aggregator_knowledge_source
UniProt	UniProt protein-list producer	infores:uniprot	biolink:primary_knowledge_source
MolePro	MolePro	infores:molepro	biolink:aggregator_knowledge_source
infores:molepro_kp	infores:molepro_kp	infores:molepro	biolink:aggregator_knowledge_source
myGene.info	myGene.info	infores:mygene-info	biolink:aggregator_knowledge_source
myChem.info	myChem.info	infores:mychem-info	biolink:aggregator_knowledge_source
ctd	CTD	infores:ctd	biolink:primary_knowledge_source
chebi	chebi	infores:chebi	biolink:primary_knowledge_source
chembank	chembank	infores:chembank	biolink:primary_knowledge_source
chembl	chembl	infores:chembl	biolink:primary_knowledge_source
drugbank	drugbank	infores:drugbank	biolink:primary_knowledge_source
drugcentral	drugcentral	infores:drugcentral	biolink:primary_knowledge_source
gtopdb	gtopdb	infores:gtopdb	biolink:primary_knowledge_source
hmdb	hmdb	infores:hmdb	biolink:primary_knowledge_source
mychem_info	mychem_info	infores:mychem-info	biolink:primary_knowledge_source
pubchem	pubchem	infores:pubchem	biolink:primary_knowledge_source
unii	unii	infores:unii	biolink:primary_knowledge_source
kegg	kegg	infores:kegg	biolink:primary_knowledge_source
mesh	mesh	infores:mesh	biolink:primary_knowledge_source
bindingdb	bindingdb	infores:bindingdb	biolink:primary_knowledge_source
bigg	bigg	infores:bigg-models	biolink:primary_knowledge_source
hgnc	hgnc	infores:hgnc	biolink:primary_knowledge_source
ensembl	ensembl	infores:ensembl-gene	biolink:primary_knowledge_source
entrez	entrez	infores:entrez	biolink:primary_knowledge_source
disease_ontology	disease_ontology	infores:disease-ontology	biolink:primary_knowledge_source
hp	hpo	infores:hpo	biolink:primary_knowledge_source
mondo	mondo	infores:mondo	biolink:primary_knowledge_source
snomed	snomedct	infores:snomedct	biolink:primary_knowledge_source
ncit	nci_thesaurus	infores:ncit	biolink:primary_knowledge_source
umls	umls	infores:umls	biolink:primary_knowledge_source
omim	omim	infores:omim	biolink:primary_knowledge_source
rxnorm	rxnorm	infores:rxnorm	biolink:primary_knowledge_source
uniprot	uniprot	infores:uniprot	biolink:primary_knowledge_source
go	go	infores:go	biolink:primary_knowledge_source
reactome	reactome	infores:reactome	biolink:primary_knowledge_source
msigdb	msigdb	infores:msigdb	biolink:primary_knowledge_source
