source	predicate	relation	attributeName	attributeValue	biolinkPredicate	inversePredicate	qualifiedPredicate	qualifier_1	qualifier_2	qualifier_3	qualifier_4
CTD	affected_by				biolink:affected_by	biolink:affects					
CTD	affects				biolink:affects	biolink:affected_by					
CTD	associated_with				biolink:associated_with	biolink:associated_with					
CTD	binds				biolink:binds	biolink:binds					
CTD	biomarker_for				biolink:biomarker_for	biolink:has_biomarker					
CTD	treats				biolink:treats	biolink:treated_by					
CTRP	biolink:correlated_with				biolink:correlated_with	biolink:correlated_with					
CTRP	correlated_with				biolink:correlated_with	biolink:correlated_with	biolink:correlated_with				
ChEBI	related_to		relation	has_functional_parent	biolink:chemically_similar_to	biolink:chemically_similar_to					
ChEBI	related_to		relation	has_parent_hydride	biolink:chemically_similar_to	biolink:chemically_similar_to					
ChEBI	related_to		relation	is_conjugate_base_of	biolink:chemically_similar_to	biolink:chemically_similar_to		derivative_qualifier:conjugate_base			
ChEBI	related_to		relation	is_conjugate_acid_of	biolink:chemically_similar_to	biolink:chemically_similar_to		derivative_qualifier:conjugate_acid			
ChEBI	related_to		relation	is_enantiomer_of	biolink:chemically_similar_to	biolink:chemically_similar_to		subject_aspect_qualifier:enantiomer			
ChEBI	related_to		relation	is_substituent_group_from	biolink:part_of	biolink:has_part		subject_part_qualifier:substitutent			
ChEBI	related_to		relation	is_tautomer_of	biolink:chemically_similar_to	biolink:chemically_similar_to		subject_aspect_qualifier:tautomer			
ChEBI	subclass_of	is_a			biolink:subclass_of	biolink:superclass_of					
ChEBI	has_part	has_part			biolink:has_part	biolink:part_of					
ChEBI	chemically_similar_to	is_conjugate_base_of			biolink:chemically_similar_to	biolink:chemically_similar_to		derivative_qualifier:conjugate_base			
ChEBI	chemically_similar_to	has_functional_parent			biolink:chemically_similar_to	biolink:chemically_similar_to					
ChEBI	chemically_similar_to	is_conjugate_acid_of			biolink:chemically_similar_to	biolink:chemically_similar_to		derivative_qualifier:conjugate_acid			
ChEBI	subclass_of	has_role			biolink:subclass_of	biolink:superclass_of					
ChEBI	chemically_similar_to	has_parent_hydride			biolink:chemically_similar_to	biolink:chemically_similar_to					
ChEBI	chemically_similar_to	is_tautomer_of			biolink:chemically_similar_to	biolink:chemically_similar_to		subject_aspect_qualifier:tautomer			
ChEBI	chemically_similar_to	is_enantiomer_of			biolink:chemically_similar_to	biolink:chemically_similar_to		subject_aspect_qualifier:enantiomer			
ChEBI	part_of	is_substituent_group_from			biolink:part_of	biolink:has_part		subject_part_qualifier:substitutent			
ChEBI	subclass_of				biolink:subclass_of	biolink:superclass_of					
ChEBI	has_part				biolink:has_part	biolink:part_of					
ChEBI	chemically_similar_to				biolink:chemically_similar_to	biolink:chemically_similar_to					
ChEBI	part_of				biolink:part_of	biolink:has_part					
ChEBI	superclass_of				biolink:superclass_of	biolink:subclass_of					
ChEMBL	biolink:increases_activity_of		action_type	ACTIVATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation	
ChEMBL	biolink:increases_activity_of		action_type	AGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:agonism	
ChEMBL	biolink:decreases_activity_of		action_type	ALLOSTERIC ANTAGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:allosteric_antagonism	
ChEMBL	biolink:decreases_activity_of		action_type	ANTAGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
ChEMBL	biolink:decreases_expression_of		action_type	ANTISENSE INHIBITOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:expression	object_direction_qualifier:decreased	causal_mechanism_qualifier:antisense_inhibition	
ChEMBL	biolink:physically_interacts_with		action_type	BINDING AGENT	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
ChEMBL	biolink:decreases_activity_of		action_type	BLOCKER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
ChEMBL	biolink:physically_interacts_with		action_type	CHELATING AGENT	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:chelation			
ChEMBL	biolink:physically_interacts_with		action_type	CROSS-LINKING AGENT	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:crosslinking			
ChEMBL	biolink:increases_degradation_of		action_type	DEGRADER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:degradation	object_direction_qualifier:increased		
ChEMBL	biolink:disrupts		action_type	DISRUPTING AGENT	biolink:disrupts	biolink:disrupted_by		object_aspect_qualifier:disruption			
ChEMBL	biolink:increases_degradation_of		action_type	HYDROLYTIC ENZYME	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:hydrolysis	object_direction_qualifier:increased		
ChEMBL	biolink:decreases_activity_of		action_type	INHIBITOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
ChEMBL	biolink:decreases_activity_of		action_type	INVERSE AGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inverse_agonism	
ChEMBL	biolink:affects_activity_of		action_type	MODULATOR	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:modulation		
ChEMBL	biolink:decreases_activity_of		action_type	NEGATIVE ALLOSTERIC MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:negative_allosteric_modulation	
ChEMBL	biolink:decreases_activity_of		action_type	NEGATIVE MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:negative_modulation	
ChEMBL	biolink:increases_activity_of		action_type	OPENER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:opening	
ChEMBL	biolink:affects		action_type	OTHER	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
ChEMBL	biolink:physically_interacts_with		action_type	OXIDATIVE ENZYME	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		object_aspect_qualifier:oxidation			
ChEMBL	biolink:increases_activity_of		action_type	PARTIAL AGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
ChEMBL	biolink:increases_activity_of		action_type	POSITIVE ALLOSTERIC MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:positive_allosteric_modulation	
ChEMBL	biolink:increases_activity_of		action_type	POSITIVE MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:positive_modulation	
ChEMBL	biolink:increases_degradation_of		action_type	PROTEOLYTIC ENZYME	biolink:affects	biolink:affected_by		object_aspect_qualifier:proteolysis			
ChEMBL	biolink:physically_interacts_with		action_type	REDUCING AGENT	biolink:affects	biolink:affected_by		object_aspect_qualifier:metabolic_processing	causal_mechanism_qualifier:reducing_agent		
ChEMBL	biolink:increases_expression_of		action_type	RELEASING AGENT	biolink:affects	biolink:affected_by		object_aspect_qualifier:transport	causal_mechanism_qualifier:releasing_agent		
ChEMBL	biolink:entity_negatively_regulates_entity		action_type	RNAI INHIBITOR	biolink:regulates	biolink:regulated_by	biolink:causes	subject_form_or_variant_qualifier:RNAi	object_direction_qualifier:decreased	object_aspect_qualifier:expression	causal_mechanism_qualifier:inhibition
ChEMBL	biolink:physically_interacts_with		action_type	SEQUESTERING AGENT	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:sequestering			
ChEMBL	biolink:increases_stability_of		action_type	STABILISER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:stability	object_direction_qualifier:increased		
ChEMBL	biolink:is_substrate_of		action_type	SUBSTRATE	biolink:is_substrate_of	biolink:has_substrate					
ChEMBL	biolink:affects		action_type	VACCINE ANTIGEN	biolink:affects	biolink:affected_by		causal_mechanism_qualifier:vaccine_antigen			
ChEMBL	biolink:activity_increased_by		action_type	ACTIVATOR	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:activation	
ChEMBL	biolink:activity_increased_by		action_type	AGONIST	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:agonism	
ChEMBL	biolink:activity_decreased_by		action_type	ALLOSTERIC ANTAGONIST	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:allosteric_antagonism	
ChEMBL	biolink:activity_decreased_by		action_type	ANTAGONIST	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
ChEMBL	biolink:expression_decreased_by		action_type	ANTISENSE INHIBITOR	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:expression	subject_direction_qualifier:decreased	causal_mechanism_qualifier:antisense_inhibition	
ChEMBL	biolink:activity_decreased_by		action_type	BLOCKER	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
ChEMBL	biolink:degradation_increased_by		action_type	DEGRADER	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:degradation	subject_direction_qualifier:increased		
ChEMBL	biolink:disrupted_by		action_type	DISRUPTING AGENT	biolink:disrupted_by	biolink:disrupts		subject_aspect_qualifier:disruption			
ChEMBL	biolink:degradation_increased_by		action_type	HYDROLYTIC ENZYME	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:hydrolysis	subject_direction_qualifier:increased		
ChEMBL	biolink:activity_decreased_by		action_type	INHIBITOR	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
ChEMBL	biolink:activity_decreased_by		action_type	INVERSE AGONIST	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:inverse_agonism	
ChEMBL	biolink:activity_affected_by		action_type	MODULATOR	biolink:affected_by	biolink:affects		subject_aspect_qualifier:activity	causal_mechanism_qualifier:modulation		
ChEMBL	biolink:activity_decreased_by		action_type	NEGATIVE ALLOSTERIC MODULATOR	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:negative_allosteric_modulation	
ChEMBL	biolink:activity_decreased_by		action_type	NEGATIVE MODULATOR	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:negative_modulation	
ChEMBL	biolink:activity_increased_by		action_type	OPENER	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:opening	
ChEMBL	biolink:affected_by		action_type	OTHER	biolink:affected_by	biolink:affects		subject_aspect_qualifier:activity			
ChEMBL	biolink:activity_increased_by		action_type	PARTIAL AGONIST	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
ChEMBL	biolink:activity_increased_by		action_type	POSITIVE ALLOSTERIC MODULATOR	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:positive_allosteric_modulation	
ChEMBL	biolink:activity_increased_by		action_type	POSITIVE MODULATOR	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:positive_modulation	
ChEMBL	biolink:degradation_increased_by		action_type	PROTEOLYTIC ENZYME	biolink:affected_by	biolink:affects		subject_aspect_qualifier:proteolysis			
ChEMBL	biolink:expression_increased_by		action_type	RELEASING AGENT	biolink:affected_by	biolink:affects		subject_aspect_qualifier:transport	causal_mechanism_qualifier:releasing_agent		
ChEMBL	biolink:entity_negatively_regulated_by_entity		action_type	RNAI INHIBITOR	biolink:regulated_by	biolink:regulates	biolink:caused_by	object_form_or_variant_qualifier:RNAi	subject_direction_qualifier:decreased	subject_aspect_qualifier:expression	causal_mechanism_qualifier:inhibition
ChEMBL	biolink:stability_increased_by		action_type	STABILISER	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:stability	subject_direction_qualifier:increased		
ChEMBL	biolink:has_substrate		action_type	SUBSTRATE	biolink:has_substrate	biolink:is_substrate_of					
ChEMBL	biolink:affected_by		action_type	VACCINE ANTIGEN	biolink:affected_by	biolink:affects		causal_mechanism_qualifier:vaccine_antigen			
ChEMBL	biolink:assesses				biolink:assesses	biolink:is_assessed_by					
ChEMBL	assesses				biolink:assesses	biolink:is_assessed_by					
ChEMBL	biolink:affects				biolink:affects	biolink:affected_by					
ChEMBL	biolink:affects_activity_of				biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
ChEMBL	biolink:decreases_activity_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
ChEMBL	biolink:decreases_expression_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:expression	object_direction_qualifier:decreased		
ChEMBL	biolink:disrupts				biolink:disrupts	biolink:disrupted_by					
ChEMBL	biolink:entity_negatively_regulates_entity				biolink:regulates	biolink:regulated_by		subject_direction_qualifier:negative			
ChEMBL	biolink:increases_activity_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased		
ChEMBL	biolink:increases_degradation_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:degradation	object_direction_qualifier:increased		
ChEMBL	biolink:increases_expression_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:expression	object_direction_qualifier:increased		
ChEMBL	biolink:increases_stability_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:stability	object_direction_qualifier:increased		
ChEMBL	biolink:is_substrate_of				biolink:is_substrate_of	biolink:has_substrate					
ChEMBL	biolink:physically_interacts_with				biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
ChEMBL	biolink:treats				biolink:treats	biolink:treated_by					
ChEMBL	biolink:has_metabolite				biolink:has_metabolite	biolink:is_metabolite_of					
ChEMBL	biolink:disrupted_by				biolink:disrupted_by	biolink:disrupts					
ChEMBL	biolink:entity_negatively_regulated_by_entity				biolink:regulated_by	biolink:regulates		subject_direction_qualifier:negative			
ChEMBL	biolink:expression_decreased_by				biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:expression	subject_direction_qualifier:decreased		
ChEMBL	biolink:expression_increased_by				biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:expression	subject_direction_qualifier:increased		
ChEMBL	biolink:has_substrate				biolink:has_substrate	biolink:is_substrate_of					
ChEMBL	biolink:is_assessed_by				biolink:is_assessed_by	biolink:assesses					
ChEMBL	biolink:is_metabolite_of				biolink:is_metabolite_of	biolink:has_metabolite					
ChEMBL	biolink:stability_increased_by				biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:stability	subject_direction_qualifier:increased		
ChEMBL	affects		action_type	ACTIVATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation	
ChEMBL	affects		action_type	AGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:agonism	
ChEMBL	affects		action_type	ALLOSTERIC ANTAGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:allosteric_antagonism	
ChEMBL	affects		action_type	ANTAGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
ChEMBL	affects		action_type	ANTISENSE INHIBITOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:expression	object_direction_qualifier:decreased	causal_mechanism_qualifier:antisense_inhibition	
ChEMBL	affects		action_type	BINDING AGENT	biolink:binds	biolink:binds					
ChEMBL	affects		action_type	BLOCKER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
ChEMBL	affects		action_type	CHELATING AGENT	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:chelation			
ChEMBL	affects		action_type	CROSS-LINKING AGENT	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:crosslinking			
ChEMBL	affects		action_type	DEGRADER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:degradation	object_direction_qualifier:increased		
ChEMBL	affects		action_type	DISRUPTING AGENT	biolink:disrupts	biolink:disrupted_by					
ChEMBL	affects		action_type	HYDROLYTIC ENZYME	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:hydrolysis	object_direction_qualifier:increased		
ChEMBL	affects		action_type	INHIBITOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
ChEMBL	affects		action_type	INVERSE AGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inverse_agonism	
ChEMBL	affects		action_type	METHYLATING AGENT	biolink:affects	biolink:affected_by		object_aspect_qualifier:methylation			
ChEMBL	affects		action_type	MODULATOR	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:modulation		
ChEMBL	affects		action_type	NEGATIVE ALLOSTERIC MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:negative_allosteric_modulation	
ChEMBL	affects		action_type	NEGATIVE MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:negative_modulation	
ChEMBL	affects		action_type	OPENER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:opening	
ChEMBL	affects		action_type	OTHER	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
ChEMBL	affects		action_type	OXIDATIVE ENZYME	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		object_aspect_qualifier:oxidation			
ChEMBL	affects		action_type	PARTIAL AGONIST	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
ChEMBL	affects		action_type	POSITIVE ALLOSTERIC MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:positive_allosteric_modulation	
ChEMBL	affects		action_type	POSITIVE MODULATOR	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:positive_modulation	
ChEMBL	affects		action_type	PROTEOLYTIC ENZYME	biolink:affects	biolink:affected_by		object_aspect_qualifier:proteolysis			
ChEMBL	affects		action_type	REDUCING AGENT	biolink:affects	biolink:affected_by		object_aspect_qualifier:metabolic_processing	causal_mechanism_qualifier:reducing_agent		
ChEMBL	affects		action_type	RELEASING AGENT	biolink:affects	biolink:affected_by		object_aspect_qualifier:transport	causal_mechanism_qualifier:releasing_agent		
ChEMBL	affects		action_type	RNAI INHIBITOR	biolink:regulates	biolink:regulated_by		subject_form_or_variant_qualifier:RNAi	object_direction_qualifier:negative	object_aspect_qualifier:expression	causal_mechanism_qualifier:RNAi_inhibition
ChEMBL	affects		action_type	SEQUESTERING AGENT	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:sequestering			
ChEMBL	affects		action_type	STABILISER	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:stability	object_direction_qualifier:increased		
ChEMBL	affects		action_type	SUBSTRATE	biolink:is_substrate_of	biolink:has_substrate					
ChEMBL	affects		action_type	VACCINE ANTIGEN	biolink:affects	biolink:affected_by					
ChEMBL	affects				biolink:affects	biolink:affected_by					
ChEMBL	affected_by				biolink:affected_by	biolink:affects					
ChEMBL	has_evidence				biolink:assesses	biolink:is_assessed_by					
ChEMBL	has_metabolite				biolink:has_metabolite	biolink:is_metabolite_of					
ChEMBL	treats				biolink:treats	biolink:treated_by					
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Activation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation	
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:agonism	
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Antagonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Antagonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DGIdb	biolink:affects		Specific Action of the Ligand	Antagonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Biased agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:biased_agonism	
DGIdb	biolink:directly_interacts_with		Specific Action of the Ligand	Binding	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:binding			
DGIdb	biolink:affects_activity_of		Specific Action of the Ligand	Competitive	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:competition			
DGIdb	biolink:affects_activity_of		Specific Action of the Ligand	Feedback inhibition	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:feedback_inhibition	
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Full agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:full_agonism	
